voice,type,reference,hypothesis,count
en_US-kristin-medium,substitution,the,a,108
en_US-kristin-medium,substitution,a,the,101
en_US-kristin-medium,substitution,the,this,61
en_US-kristin-medium,substitution,was,is,50
en_US-kristin-medium,substitution,and,in,37
en_US-kristin-medium,substitution,in,and,37
en_US-kristin-medium,substitution,worn,one,35
en_US-kristin-medium,substitution,colt,cold,30
en_US-kristin-medium,substitution,hot,heart,25
en_US-kristin-medium,substitution,ten,10,24
en_US-kristin-medium,substitution,are,a,23
en_US-kristin-medium,substitution,gray,grey,22
en_US-kristin-medium,substitution,threw,through,17
en_US-kristin-medium,substitution,will,would,17
en_US-kristin-medium,substitution,were,with,16
en_US-kristin-medium,substitution,pail,pale,16
en_US-kristin-medium,substitution,at,it,16
en_US-kristin-medium,substitution,screen,scream,16
en_US-kristin-medium,substitution,parked,park,15
en_US-kristin-medium,substitution,the,to,15
en_US-kristin-medium,deletion,the,,116
en_US-kristin-medium,deletion,a,,98
en_US-kristin-medium,deletion,is,,88
en_US-kristin-medium,deletion,and,,41
en_US-kristin-medium,deletion,of,,25
en_US-kristin-medium,deletion,in,,22
en_US-kristin-medium,deletion,top,,19
en_US-kristin-medium,deletion,year,,15
en_US-kristin-medium,deletion,tacks,,15
en_US-kristin-medium,deletion,way,,14
en_US-kristin-medium,deletion,was,,14
en_US-kristin-medium,deletion,red,,14
en_US-kristin-medium,deletion,yard,,13
en_US-kristin-medium,deletion,or,,13
en_US-kristin-medium,deletion,flaw,,12
en_US-kristin-medium,deletion,story,,12
en_US-kristin-medium,deletion,oiled,,11
en_US-kristin-medium,deletion,drifts,,11
en_US-kristin-medium,deletion,switch,,11
en_US-kristin-medium,deletion,old,,11
en_US-kristin-medium,insertion,,i,64
en_US-kristin-medium,insertion,,the,62
en_US-kristin-medium,insertion,,but,21
en_US-kristin-medium,insertion,,and,17
en_US-kristin-medium,insertion,,you,16
en_US-kristin-medium,insertion,,let,16
en_US-kristin-medium,insertion,,for,15
en_US-kristin-medium,insertion,,ran,15
en_US-kristin-medium,insertion,,just,14
en_US-kristin-medium,insertion,,a,14
en_US-kristin-medium,insertion,,to,12
en_US-kristin-medium,insertion,,at,12
en_US-kristin-medium,insertion,,what,12
en_US-kristin-medium,insertion,,of,7
en_US-kristin-medium,insertion,,ill,7
en_US-kristin-medium,insertion,,with,7
en_US-kristin-medium,insertion,,apart,7
en_US-kristin-medium,insertion,,on,6
en_US-kristin-medium,insertion,,in,5
en_US-kristin-medium,insertion,,face,5
