voice,type,reference,hypothesis,count
en_US-ryan-medium,substitution,a,the,119
en_US-ryan-medium,substitution,the,a,83
en_US-ryan-medium,substitution,in,and,52
en_US-ryan-medium,substitution,ten,10,42
en_US-ryan-medium,substitution,the,to,30
en_US-ryan-medium,substitution,thirty,30,27
en_US-ryan-medium,substitution,the,this,24
en_US-ryan-medium,substitution,ripe,right,24
en_US-ryan-medium,substitution,was,is,22
en_US-ryan-medium,substitution,he,you,17
en_US-ryan-medium,substitution,there,theres,17
en_US-ryan-medium,substitution,pears,pairs,17
en_US-ryan-medium,substitution,kick,take,15
en_US-ryan-medium,substitution,coat,code,15
en_US-ryan-medium,substitution,well,welloiled,15
en_US-ryan-medium,substitution,of,to,15
en_US-ryan-medium,substitution,half,halfway,15
en_US-ryan-medium,substitution,busses,buses,15
en_US-ryan-medium,substitution,sixteen,16,15
en_US-ryan-medium,substitution,beat,beats,15
en_US-ryan-medium,deletion,the,,46
en_US-ryan-medium,deletion,top,,23
en_US-ryan-medium,deletion,is,,19
en_US-ryan-medium,deletion,oiled,,15
en_US-ryan-medium,deletion,way,,15
en_US-ryan-medium,deletion,shaped,,15
en_US-ryan-medium,deletion,bred,,14
en_US-ryan-medium,deletion,weight,,14
en_US-ryan-medium,deletion,wood,,14
en_US-ryan-medium,deletion,there,,13
en_US-ryan-medium,deletion,yard,,13
en_US-ryan-medium,deletion,red,,13
en_US-ryan-medium,deletion,show,,12
en_US-ryan-medium,deletion,designed,,11
en_US-ryan-medium,deletion,drifts,,10
en_US-ryan-medium,deletion,vent,,9
en_US-ryan-medium,deletion,men,,9
en_US-ryan-medium,deletion,tacks,,8
en_US-ryan-medium,deletion,to,,7
en_US-ryan-medium,deletion,waved,,7
en_US-ryan-medium,insertion,,the,68
en_US-ryan-medium,insertion,,i,49
en_US-ryan-medium,insertion,,a,24
en_US-ryan-medium,insertion,,had,15
en_US-ryan-medium,insertion,,hot,15
en_US-ryan-medium,insertion,,owl,15
en_US-ryan-medium,insertion,,rose,12
en_US-ryan-medium,insertion,,glass,11
en_US-ryan-medium,insertion,,all,10
en_US-ryan-medium,insertion,,of,9
en_US-ryan-medium,insertion,,for,8
en_US-ryan-medium,insertion,,is,7
en_US-ryan-medium,insertion,,to,7
en_US-ryan-medium,insertion,,this,7
en_US-ryan-medium,insertion,,his,6
en_US-ryan-medium,insertion,,in,4
en_US-ryan-medium,insertion,,it,3
en_US-ryan-medium,insertion,,and,3
en_US-ryan-medium,insertion,,you,3
en_US-ryan-medium,insertion,,ill,3
