voice,type,reference,hypothesis,count
en_US-joe-medium,substitution,a,the,181
en_US-joe-medium,substitution,the,to,59
en_US-joe-medium,substitution,a,i,58
en_US-joe-medium,substitution,in,and,53
en_US-joe-medium,substitution,ten,10,49
en_US-joe-medium,substitution,the,a,34
en_US-joe-medium,substitution,the,this,30
en_US-joe-medium,substitution,thirty,30,28
en_US-joe-medium,substitution,ripe,right,27
en_US-joe-medium,substitution,along,on,26
en_US-joe-medium,substitution,a,it,24
en_US-joe-medium,substitution,and,in,23
en_US-joe-medium,substitution,light,white,23
en_US-joe-medium,substitution,wide,white,22
en_US-joe-medium,substitution,lack,like,20
en_US-joe-medium,substitution,shoe,shoes,20
en_US-joe-medium,substitution,ice,eyes,19
en_US-joe-medium,substitution,try,tried,19
en_US-joe-medium,substitution,bound,found,19
en_US-joe-medium,substitution,the,that,18
en_US-joe-medium,deletion,a,,54
en_US-joe-medium,deletion,in,,33
en_US-joe-medium,deletion,and,,28
en_US-joe-medium,deletion,the,,26
en_US-joe-medium,deletion,top,,24
en_US-joe-medium,deletion,of,,23
en_US-joe-medium,deletion,is,,20
en_US-joe-medium,deletion,store,,15
en_US-joe-medium,deletion,this,,15
en_US-joe-medium,deletion,found,,15
en_US-joe-medium,deletion,yard,,14
en_US-joe-medium,deletion,neat,,14
en_US-joe-medium,deletion,show,,13
en_US-joe-medium,deletion,way,,13
en_US-joe-medium,deletion,tacks,,13
en_US-joe-medium,deletion,to,,12
en_US-joe-medium,deletion,are,,11
en_US-joe-medium,deletion,verse,,10
en_US-joe-medium,deletion,shaped,,10
en_US-joe-medium,deletion,tea,,9
en_US-joe-medium,insertion,,i,108
en_US-joe-medium,insertion,,the,64
en_US-joe-medium,insertion,,and,43
en_US-joe-medium,insertion,,a,21
en_US-joe-medium,insertion,,lets,20
en_US-joe-medium,insertion,,can,18
en_US-joe-medium,insertion,,to,15
en_US-joe-medium,insertion,,hot,15
en_US-joe-medium,insertion,,up,14
en_US-joe-medium,insertion,,this,10
en_US-joe-medium,insertion,,ill,8
en_US-joe-medium,insertion,,for,8
en_US-joe-medium,insertion,,of,8
en_US-joe-medium,insertion,,caused,8
en_US-joe-medium,insertion,,do,8
en_US-joe-medium,insertion,,sell,7
en_US-joe-medium,insertion,,is,7
en_US-joe-medium,insertion,,im,7
en_US-joe-medium,insertion,,soul,7
en_US-joe-medium,insertion,,tried,7
