voice,type,reference,hypothesis,count
en_US-danny-low,substitution,the,a,95
en_US-danny-low,substitution,ten,10,67
en_US-danny-low,substitution,a,the,66
en_US-danny-low,substitution,the,this,30
en_US-danny-low,substitution,the,for,28
en_US-danny-low,substitution,shone,shown,28
en_US-danny-low,substitution,thirty,30,25
en_US-danny-low,substitution,worn,warm,22
en_US-danny-low,substitution,wide,white,21
en_US-danny-low,substitution,a,of,20
en_US-danny-low,substitution,port,pot,20
en_US-danny-low,substitution,he,you,18
en_US-danny-low,substitution,was,is,17
en_US-danny-low,substitution,gray,grey,17
en_US-danny-low,substitution,this,his,16
en_US-danny-low,substitution,but,that,16
en_US-danny-low,substitution,round,rounder,15
en_US-danny-low,substitution,fifty,50,15
en_US-danny-low,substitution,side,sideshow,15
en_US-danny-low,substitution,busses,buses,15
en_US-danny-low,deletion,the,,45
en_US-danny-low,deletion,top,,26
en_US-danny-low,deletion,a,,22
en_US-danny-low,deletion,from,,16
en_US-danny-low,deletion,of,,16
en_US-danny-low,deletion,show,,15
en_US-danny-low,deletion,drifts,,15
en_US-danny-low,deletion,shaped,,15
en_US-danny-low,deletion,yard,,15
en_US-danny-low,deletion,side,,15
en_US-danny-low,deletion,story,,15
en_US-danny-low,deletion,red,,15
en_US-danny-low,deletion,way,,14
en_US-danny-low,deletion,was,,14
en_US-danny-low,deletion,tacks,,14
en_US-danny-low,deletion,madam,,14
en_US-danny-low,deletion,store,,13
en_US-danny-low,deletion,speed,,13
en_US-danny-low,deletion,water,,13
en_US-danny-low,deletion,is,,12
en_US-danny-low,insertion,,the,79
en_US-danny-low,insertion,,and,29
en_US-danny-low,insertion,,of,20
en_US-danny-low,insertion,,for,18
en_US-danny-low,insertion,,from,17
en_US-danny-low,insertion,,to,14
en_US-danny-low,insertion,,hot,14
en_US-danny-low,insertion,,with,12
en_US-danny-low,insertion,,door,9
en_US-danny-low,insertion,,by,9
en_US-danny-low,insertion,,this,7
en_US-danny-low,insertion,,set,7
en_US-danny-low,insertion,,rose,6
en_US-danny-low,insertion,,as,5
en_US-danny-low,insertion,,then,4
en_US-danny-low,insertion,,but,4
en_US-danny-low,insertion,,you,4
en_US-danny-low,insertion,,be,4
en_US-danny-low,insertion,,it,4
en_US-danny-low,insertion,,band,4
